"predator_class","predator_name","num_stb_killed"
"WARLOCK","Kazakus",1432
"HUNTER","Explosive Trap",1416
"SHAMAN","Searing Totem",1410
"WARLOCK","Earthen Ring Farseer",1407
"ROGUE","Tomb Pillager",1400
"DRUID","Moonfire",1393
"PRIEST","Kazakus Potion",1384
"WARRIOR","N'Zoth's First Mate",1384
"DRUID","Azure Drake",1375
"DRUID","Fandral Staghelm",1354
"WARRIOR","Shield Slam",1351
"MAGE","Kazakus Potion",1344
"DRUID","Druid of the Claw",1344
"DRUID","Sapling",1325
"MAGE","Water Elemental",1300
"SHAMAN","Lava Shock",1283
"PRIEST","Blackwing Technician",1282
"MAGE","Fireblast",1263
"MAGE","Kazakus",1221
"WARLOCK","Felfire Potion",1221
"WARLOCK","Reno Jackson",1215
"WARRIOR","Twilight Guardian",1161
"PRIEST","Brann Bronzebeard",1124
"WARRIOR","Argent Horserider",1122
"WARLOCK","Brann Bronzebeard",1096
"ROGUE","Azure Drake",1090
"WARRIOR","Fireblast",1077
"WARRIOR","Sleep with the Fishes",1068
"MAGE","Acidic Swamp Ooze",1067
"WARRIOR","Sir Finley Mrrgglton",1054
"SHAMAN","Sir Finley Mrrgglton",1050
"ROGUE","Swashburglar",1047
"WARLOCK","Sunfury Protector",1017
"WARRIOR","Fierce Monkey",999
"PRIEST","Wild Pyromancer",973
"ROGUE","Edwin VanCleef",956
"MAGE","Reno Jackson",914
"DRUID","Jade Golem",902
"ROGUE","Shiv",892
"PRIEST","Acidic Swamp Ooze",877
"SHAMAN","Wrath of Air Totem",845
"DRUID","Starfall",837
"MAGE","Kabal Courier",831
"DRUID","Jade Golem",830
"WARRIOR","Southsea Captain",829
"MAGE","Firelands Portal",829
"MAGE","Mana Wyrm",803
"SHAMAN","Fireblast",785
"WARLOCK","Defender of Argus",771
"SHAMAN","Aya Blackpaw",770
"HUNTER","Rexxar",748
"PRIEST","Book Wyrm",742
"MAGE","Refreshment Vendor",740
"PRIEST","Mind Spike",723
"PRIEST","Circle of Healing",706
"MAGE","Arcane Explosion",702
"MAGE","Mistress of Mixtures",694
"HUNTER","Dispatch Kodo",692
"MAGE","Azure Drake",685
"SHAMAN","Jade Golem",680
"HUNTER","Powershot",673
"ROGUE","Questing Adventurer",673
"SHAMAN","Jade Chieftain",671
"PRIEST","Azure Drake",668
"WARRIOR","Mortal Strike",656
"WARRIOR","Dirty Rat",654
"MAGE","Brann Bronzebeard",648
"PRIEST","Twilight Drake",621
"MAGE","Fireblast",611
"SHAMAN","Lava Burst",608
"PALADIN","Argent Horserider",602
"HUNTER","Hound",593
"ROGUE","Bluegill Warrior",588
"SHAMAN","Brann Bronzebeard",581
"ROGUE","Shaku, the Collector",575
"PRIEST","Patches the Pirate",574
"MAGE","Twilight Flamecaller",561
"WARLOCK","Demonfire",559
"MAGE","Second-Rate Bruiser",555
"WARRIOR","Disciple of C'Thun",549
"DRUID","Brann Bronzebeard",546
"WARRIOR","Alley Armorsmith",541
"SHAMAN","Stoneclaw Totem",513
"DRUID","Aya Blackpaw",513
"WARLOCK","Faceless Shambler",512
"WARLOCK","Mountain Giant",510
"PRIEST","Kazakus Potion",503
"WARLOCK","Emperor Thaurissan",502
"WARLOCK","Mind Control Tech",498
"WARLOCK","Disciple of C'Thun",493
"PRIEST","Southsea Deckhand",490
"PRIEST","Chillmaw",489
"MAGE","Kazakus Potion",489
"DRUID","Jade Golem",484
"PALADIN","Aldor Peacekeeper",478
"ROGUE","Undercity Huckster",476
"MAGE","Manic Soulcaster",469
"ROGUE","Dark Iron Skulker",466
"PRIEST","Backstab",456
"MAGE","Fireball",454
"PRIEST","Kazakus",450
"WARRIOR","Acidic Swamp Ooze",450
"PRIEST","Priest of the Feast",444
"PALADIN","Murloc Warleader",422
"WARLOCK","Lord Jaraxxus",414
"ROGUE","Gadgetzan Auctioneer",412
"ROGUE","Shadow Strike",409
"HUNTER","Arcane Shot",406
"SHAMAN","Deathwing",406
"WARLOCK","Imp",404
"WARLOCK","Voidwalker",393
"MAGE","Emperor Thaurissan",393
"PRIEST","Lightning Storm",389
"PRIEST","Maelstrom Portal",389
"WARRIOR","Cruel Taskmaster",380
"PRIEST","Defender of Argus",380
"PALADIN","Lady Liadrin",377
"WARLOCK","Kabal Courier",375
"DRUID","Dark Arakkoa",372
"PRIEST","Dirty Rat",367
"WARRIOR","Azure Drake",356
"DRUID","C'Thun",354
"ROGUE","Argent Squire",354
"SHAMAN","Jade Golem",351
"MAGE","Sorcerer's Apprentice",346
"WARRIOR","Bluegill Warrior",341
"MAGE","Babbling Book",339
"WARRIOR","Grommash Hellscream",332
"ROGUE","Lightning Storm",325
"PRIEST","Kabal Courier",325
"SHAMAN","Fire Elemental",324
"PALADIN","Silver Hand Recruit",324
"DRUID","Gadgetzan Auctioneer",324
"WARLOCK","Flame Imp",316
"MAGE","Medivh's Valet",309
"PRIEST","Raza the Chained",305
"MAGE","Mind Control Tech",305
"PALADIN","Wickerflame Burnbristle",303
"WARRIOR","The Curator",302
"DRUID","Enchanted Raven",299
"HUNTER","Kill Command",298
"HUNTER","Snipe",287
"WARRIOR","Faerie Dragon",279
"WARLOCK","Kazakus Potion",274
"ROGUE","Elemental Destruction",271
"SHAMAN","Argent Horserider",269
"PRIEST","Reno Jackson",267
"PALADIN","Second-Rate Bruiser",266
"PRIEST","Anduin Wrynn",264
"ROGUE","Forked Lightning",263
"PALADIN","Finja, the Flying Star",263
"SHAMAN","Flametongue Totem",250
"ROGUE","Firebloom Toxin",246
"PRIEST","Disciple of C'Thun",243
"WARLOCK","Knife Juggler",240
"PRIEST","Deathwing",239
"HUNTER","Cloaked Huntress",238
"SHAMAN","Bluegill Warrior",237
"MAGE","Burgly Bully",235
"SHAMAN","Tentacle of N'Zoth",231
"PALADIN","Mistress of Mixtures",230
"WARRIOR","Cleave",230
"PALADIN","Acolyte of Pain",230
"WARRIOR","Drakonid Crusher",230
"ROGUE","Jade Swarmer",227
"ROGUE","Jade Golem",224
"SHAMAN","Bloodmage Thalnos",222
"WARRIOR","Acolyte of Pain",219
"DRUID","Mire Keeper",216
"PALADIN","Tirion Fordring",215
"DRUID","Acidic Swamp Ooze",215
"PRIEST","Lesser Heal",215
"WARRIOR","Elise Starseeker",215
"MAGE","Alexstrasza",213
"SHAMAN","Mistress of Mixtures",213
"SHAMAN","Acidic Swamp Ooze",211
"WARRIOR","Bloodhoof Brave",211
"WARRIOR","Ragnaros the Firelord",208
"MAGE","Greater Arcane Missiles",208
"ROGUE","Unearthed Raptor",206
"WARLOCK","Possessed Villager",204
"WARLOCK","Spellbreaker",201
"ROGUE","Finja, the Flying Star",201
"DRUID","Jade Golem",201
"WARRIOR","Naga Corsair",201
"DRUID","Sabertooth Lion",200
"HUNTER","Explosive Shot",199
"PRIEST","Tunnel Trogg",198
"WARLOCK","Malchezaar's Imp",198
"PRIEST","Spirit Wolf",198
"WARLOCK","Deathwing",196
"WARRIOR","Slime",195
"MAGE","Cone of Cold",194
"WARRIOR","Whirlwind",193
"DRUID","Wild Pyromancer",193
"PRIEST","Second-Rate Bruiser",190
"SHAMAN","Earth Shock",189
"SHAMAN","Stonetusk Boar",188
"DRUID","Druid of the Claw",187
"MAGE","Deathwing",186
"HUNTER","Big Bad Wolf",181
"WARLOCK","Sylvanas Windrunner",180
"WARLOCK","Ragnaros the Firelord",180
"ROGUE","Lava Shock",176
"PALADIN","Ivory Knight",175
"WARLOCK","Doomguard",175
"PRIEST","Lightning Bolt",175
"PALADIN","Dirty Rat",174
"PALADIN","Hammer of Wrath",174
"PRIEST","Kabal Songstealer",173
"WARLOCK","Drain Life",172
"ROGUE","Jade Spirit",172
"PALADIN","Barnes",171
"SHAMAN","Injured Kvaldir",169
"HUNTER","Kindly Grandmother",168
"HUNTER","Huffer",168
"WARRIOR","Blood To Ichor",167
"MAGE","Cult Sorcerer",167
"SHAMAN","Mana Tide Totem",166
"PRIEST","Ancient Watcher",164
"HUNTER","Tundra Rhino",164
"MAGE","Loot Hoarder",163
"DRUID","Sabertooth Panther",162
"SHAMAN","White Eyes",162
"SHAMAN","Jade Golem",161
"PRIEST","Mistress of Mixtures",161
"ROGUE","Barnes",160
"MAGE","Archmage Antonidas",156
"ROGUE","Cleave",155
"PRIEST","Ysera Awakens",154
"DRUID","Whelp",149
"PALADIN","Argent Squire",148
"HUNTER","Leokk",147
"SHAMAN","Whelp",145
"SHAMAN","Worgen Infiltrator",143
"WARLOCK","Shadowbeast",143
"PALADIN","Blackwing Corruptor",141
"PRIEST","Jade Golem",141
"MAGE","Ethereal Conjurer",141
"WARLOCK","Bane of Doom",138
"SHAMAN","Stormcrack",137
"SHAMAN","Argent Squire",135
"HUNTER","Misha",135
"WARLOCK","Darkshire Councilman",135
"WARRIOR","Justicar Trueheart",133
"PRIEST","Faerie Dragon",132
"PALADIN","Loot Hoarder",128
"DRUID","Bluegill Warrior",128
"HUNTER","Ironfur Grizzly",127
"MAGE","Ragnaros the Firelord",126
"DRUID","Ragnaros the Firelord",126
"HUNTER","Rat Pack",124
"PRIEST","Mind Control Tech",123
"PRIEST","SI:7 Agent",122
"ROGUE","Jade Golem",118
"ROGUE","Murloc Warleader",117
"DRUID","Deathwing",116
"PALADIN","Sen'jin Shieldmasta",116
"MAGE","Demonwrath",116
"ROGUE","Perdition's Blade",116
"HUNTER","King's Elekk",114
"DRUID","Sir Finley Mrrgglton",113
"MAGE","Bloodmage Thalnos",113
"ROGUE","Disciple of C'Thun",113
"PRIEST","Kazakus Potion",113
"WARLOCK","Patches the Pirate",112
"SHAMAN","Vilefin Inquisitor",112
"SHAMAN","Forked Lightning",112
"PRIEST","Ragnaros the Firelord",111
"ROGUE","Revenge",109
"MAGE","Acolyte of Pain",109
"PRIEST","Argent Horserider",108
"HUNTER","Secretkeeper",108
"MAGE","Holy Nova",108
"PALADIN","Ragnaros, Lightlord",106
"WARLOCK","Kabal Demon",106
"SHAMAN","Barnes",104
"PALADIN","Grimestreet Outfitter",103
"DRUID","Dragon Egg",103
"WARRIOR","Hobart Grapplehammer",102
"WARRIOR","Finja, the Flying Star",102
"MAGE","Hellfire",101
"ROGUE","Mistress of Mixtures",101
"ROGUE","Ravaging Ghoul",100
"MAGE","Roaring Torch",100
"MAGE","Inkmaster Solia",100
"MAGE","Disciple of C'Thun",99
"DRUID","Beckoner of Evil",99
"DRUID","Slime",99
"SHAMAN","Fiery Bat",98
"MAGE","Excavated Evil",97
"PALADIN","Meanstreet Marshal",96
"ROGUE","Maelstrom Portal",96
"PALADIN","Acidic Swamp Ooze",96
"SHAMAN","Enchanted Raven",95
"PRIEST","Sunfury Protector",94
"MAGE","Earthen Ring Farseer",93
"ROGUE","Jade Golem",93
"WARLOCK","Silverware Golem",93
"MAGE","Barnes",92
"PRIEST","Bluegill Warrior",92
"PALADIN","Disciple of C'Thun",91
"PALADIN","Patches the Pirate",91
"DRUID","Violet Teacher",90
"PRIEST","Whelp",90
"HUNTER","Argent Horserider",89
"HUNTER","Houndmaster",88
"PRIEST","Acolyte of Pain",88
"HUNTER","Infested Wolf",87
"DRUID","Argent Squire",87
"ROGUE","Lightning Bolt",87
"WARLOCK","Argent Squire",87
"SHAMAN","Mana Wyrm",86
"PRIEST","Volcanic Potion",86
"MAGE","Dragon's Breath",86
"PRIEST","Tyrande Whisperwind",86
"PALADIN","Twilight Guardian",86
"PALADIN","Avenging Wrath",85
"MAGE","Kabal Demon",85
"ROGUE","Xaril, Poisoned Mind",85
"MAGE","Whelp",85
"PALADIN","Sir Finley Mrrgglton",85
"DRUID","Panther",85
"PRIEST","Shifting Shade",84
"HUNTER","Fiery Bat",84
"PALADIN","Southsea Deckhand",84
"SHAMAN","Malchezaar's Imp",84
"DRUID","Emperor Thaurissan",84
"PRIEST","Injured Blademaster",83
"HUNTER","Huge Toad",83
"SHAMAN","Murloc Raider",83
"SHAMAN","Ragnaros the Firelord",82
"SHAMAN","Al'Akir the Windlord",82
"PRIEST","Fan of Knives",82
"WARLOCK","C'Thun",82
"MAGE","Medivh, the Guardian",82
"MAGE","Dragonfire Potion",82
"DRUID","Patches the Pirate",82
"SHAMAN","Lowly Squire",81
"HUNTER","Alleycat",81
"WARLOCK","Blackwing Corruptor",81
"WARLOCK","Volcanic Potion",81
"HUNTER","Shaky Zipgunner",81
"SHAMAN","Murloc Tidecaller",81
"WARLOCK","Argent Horserider",81
"HUNTER","Barnes",80
"ROGUE","Cruel Taskmaster",80
"SHAMAN","Voidwalker",80
"PALADIN","Grimestreet Enforcer",79
"WARLOCK","Icky Tentacle",78
"HUNTER","Rat",77
"WARRIOR","Baron Geddon",77
"DRUID","Barnes",77
"WARLOCK","Dire Wolf Alpha",77
"DRUID","North Sea Kraken",77
"ROGUE","Emperor Thaurissan",77
"SHAMAN","Jade Golem",77
"PALADIN","Worgen Infiltrator",76
"ROGUE","Naga Corsair",76
"DRUID","Druid of the Flame",75
"SHAMAN","Kobold Geomancer",75
"WARLOCK","Beckoner of Evil",75
"SHAMAN","Hungry Crab",74
"PRIEST","Cabal Shadow Priest",74
"PALADIN","Blackwing Technician",74
"WARRIOR","Murloc Warleader",74
"WARRIOR","Whelp",74
"DRUID","Mounted Raptor",72
"PRIEST","Jade Golem",72
"WARLOCK","Spreading Madness",72
"SHAMAN","Northshire Cleric",72
"HUNTER","Tabbycat",71
"WARLOCK","Darkshire Librarian",71
"MAGE","Felfire Potion",71
"SHAMAN","Earth Elemental",70
"SHAMAN","Meanstreet Marshal",70
"DRUID","Second-Rate Bruiser",69
"PRIEST","Jade Lightning",69
"WARRIOR","Deathwing",69
"ROGUE","Sleep with the Fishes",69
"WARLOCK","Infernal",69
"SHAMAN","Dragon Egg",69
"PRIEST","Museum Curator",68
"ROGUE","Nerubian",68
"PRIEST","Eerie Statue",68
"WARRIOR","C'Thun",67
"DRUID","Jade Golem",67
"WARRIOR","Wild Pyromancer",67
"HUNTER","Hyena",67
"SHAMAN","Possessed Villager",67
"MAGE","Backstab",67
"HUNTER","Trogg Beastrager",67
"DRUID","Darnassus Aspirant",66
"SHAMAN","Grimscale Chum",66
"WARRIOR","Book Wyrm",66
"SHAMAN","Bloodsail Corsair",65
"SHAMAN","Arcane Anomaly",65
"HUNTER","Alleria Windrunner",65
"SHAMAN","Wisp",64
"ROGUE","Slam",64
"SHAMAN","Gadgetzan Jouster",64
"ROGUE","Acidic Swamp Ooze",64
"ROGUE","Inner Rage",64
"ROGUE","Fire Elemental",64
"PRIEST","Loot Hoarder",63
"MAGE","Abyssal Enforcer",63
"PRIEST","Ysera",63
"SHAMAN","Murloc Tinyfin",63
"DRUID","Arcane Giant",62
"DRUID","Twilight Elder",62
"SHAMAN","Secretkeeper",61
"DRUID","Violet Apprentice",61
"PALADIN","Keeper of Uldaman",61
"ROGUE","Spirit Wolf",61
"DRUID","The Curator",61
"WARLOCK","Sen'jin Shieldmasta",60
"DRUID","Druid of the Claw",59
"MAGE","Holy Smite",59
"SHAMAN","Buccaneer",59
"HUNTER","Savannah Highmane",58
"SHAMAN","Bladed Cultist",58
"WARRIOR","Grimy Gadgeteer",58
"WARRIOR","Inner Rage",58
"HUNTER","Knife Juggler",57
"ROGUE","Whirlwind",57
"SHAMAN","Thunder Bluff Valiant",57
"HUNTER","Snake",57
"WARLOCK","Holy Nova",57
"PALADIN","Cyclopian Horror",57
"DRUID","Keeper of the Grove",56
"WARRIOR","Armorsmith",56
"SHAMAN","Voodoo Doctor",56
"SHAMAN","Twilight Whelp",56
"SHAMAN","Selfless Hero",56
"PRIEST","N'Zoth's First Mate",56
"PRIEST","Hellfire",56
"MAGE","Faceless Summoner",55
"DRUID","Runic Egg",55
"PRIEST","Eviscerate",54
"WARLOCK","Elven Archer",54
"WARLOCK","Whelp",54
"WARLOCK","Bloodsail Corsair",54
"SHAMAN","Runic Egg",53
"ROGUE","Bash",53
"DRUID","Coldlight Oracle",53
"SHAMAN","Brave Archer",53
"DRUID","Bog Creeper",53
"MAGE","Kirin Tor Mage",53
"SHAMAN","Lightwarden",53
"WARRIOR","Harrison Jones",53
"ROGUE","Refreshment Vendor",53
"ROGUE","Brann Bronzebeard",53
"ROGUE","Defender of Argus",53
"SHAMAN","Frog",53
"PRIEST","Jade Spirit",52
"PRIEST","Faceless Shambler",52
"SHAMAN","Flame Imp",52
"ROGUE","Southsea Captain",52
"PRIEST","Blizzard",52
"WARRIOR","Sylvanas Windrunner",52
"WARLOCK","Succubus",51
"WARLOCK","Cult Apothecary",51
"SHAMAN","Weasel Tunneler",51
"WARLOCK","Twilight Guardian",51
"HUNTER","Cat in a Hat",51
"SHAMAN","Zealous Initiate",50
"HUNTER","Multi-Shot",50
"WARLOCK","Bluegill Warrior",50
"DRUID","C'Thun's Chosen",50
"WARRIOR","Beckoner of Evil",49
"PALADIN","Infested Tauren",48
"WARLOCK","Worgen Infiltrator",48
"SHAMAN","Kabal Lackey",48
"MAGE","Mind Spike",48
"WARLOCK","Harrison Jones",48
"WARLOCK","Dragonfire Potion",47
"PALADIN","Brann Bronzebeard",47
"WARRIOR","Backstab",47
"WARRIOR","Leeroy Jenkins",47
"SHAMAN","Dirty Rat",47
"PRIEST","Justicar Trueheart",47
"SHAMAN","Goldshire Footman",47
"PRIEST","Lesser Heal",47
"PRIEST","Frothing Berserker",47
"SHAMAN","Shadowbeast",47
"SHAMAN","Disciple of C'Thun",47
"PRIEST","Dragonkin Sorcerer",47
"ROGUE","Stormcrack",46
"PRIEST","Darkshire Alchemist",46
"DRUID","Ironbark Protector",46
"MAGE","Twilight Guardian",46
"DRUID","Fireblast",46
"PALADIN","The Curator",46
"SHAMAN","Blackwing Corruptor",46
"MAGE","Kabal Chemist",46
"ROGUE","Rumbling Elemental",46
"DRUID","Finja, the Flying Star",46
"SHAMAN","Forbidden Ancient",45
"SHAMAN","Dust Devil",45
"PRIEST","Sir Finley Mrrgglton",45
"DRUID","Soggoth the Slitherer",45
"MAGE","Blackwing Corruptor",45
"SHAMAN","Shifter Zerus",45
"ROGUE","Lightning Jolt",45
"PALADIN","Slime",44
"PALADIN","Fireblast",44
"HUNTER","Wild Pyromancer",44
"MAGE","Bane of Doom",44
"PRIEST","Bloodsail Raider",44
"ROGUE","Whelp",44
"PRIEST","Refreshment Vendor",44
"ROGUE","Aya Blackpaw",44
"DRUID","Excavated Evil",43
"PRIEST","Beckoner of Evil",43
"DRUID","Savage Combatant",43
"PALADIN","Small-Time Buccaneer",43
"PALADIN","Flame Juggler",43
"MAGE","Harrison Jones",43
"PRIEST","Auchenai Soulpriest",43
"PALADIN","Netherspite Historian",43
"ROGUE","Earth Shock",43
"SHAMAN","Loot Hoarder",42
"PALADIN","Argent Protector",42
"HUNTER","Bluegill Warrior",42
"SHAMAN","Pit Snake",42
"WARLOCK","Tentacle of N'Zoth",41
"HUNTER","Acidic Swamp Ooze",41
"SHAMAN","Twilight Guardian",41
"WARLOCK","Backstab",41
"ROGUE","Frost Shock",41
"HUNTER","Scavenging Hyena",41
"ROGUE","Buccaneer",41
"PRIEST","Abomination",41
"SHAMAN","Reliquary Seeker",41
"PRIEST","Demonwrath",40
"DRUID","Black Whelp",40
"SHAMAN","Corrupted Seer",40
"DRUID","Defender of Argus",40
"SHAMAN","Timber Wolf",40
"WARLOCK","Abusive Sergeant",40
"SHAMAN","Elven Archer",40
"WARLOCK","Flame Juggler",39
"ROGUE","Jade Lightning",39
"PRIEST","Sylvanas Windrunner",39
"WARRIOR","Chillmaw",39
"DRUID","Lightning Storm",39
"SHAMAN","Grimscale Oracle",39
"SHAMAN","Abusive Sergeant",39
"SHAMAN","Leper Gnome",39
"MAGE","Drain Life",39
"HUNTER","On the Hunt",38
"MAGE","Spellslinger",38
"DRUID","Kun the Forgotten King",38
"DRUID","Baron Geddon",38
"PRIEST","Mana Geode",38
"SHAMAN","Tournament Attendee",38
"SHAMAN","Swashburglar",38
"MAGE","Flame Lance",38
"PALADIN","Selfless Hero",38
"ROGUE","Bloodmage Thalnos",38
"WARLOCK","Holy Smite",38
"WARRIOR","Infested Tauren",38
"PALADIN","Grimestreet Smuggler",37
"MAGE","Beckoner of Evil",37
"SHAMAN","Alleycat",37
"ROGUE","Jade Golem",37
"PALADIN","Corrupted Seer",37
"PRIEST","Undercity Huckster",37
"PALADIN","Azure Drake",37
"PRIEST","Infested Tauren",37
"PALADIN","Faerie Dragon",36
"SHAMAN","Blood Imp",36
"ROGUE","Loot Hoarder",36
"PRIEST","Fel Orc Soulfiend",36
"ROGUE","Blade Flurry",36
"ROGUE","Ethereal Peddler",36
"WARRIOR","Reckless Rocketeer",36
"SHAMAN","Babbling Book",36
"DRUID","Twin Emperor Vek'lor",35
"ROGUE","Bladed Cultist",35
"SHAMAN","Young Priestess",35
"WARLOCK","Fist of Jaraxxus",35
"HUNTER","Spider",35
"SHAMAN","Angry Chicken",34
"WARRIOR","Slime",34
"PALADIN","Defender of Argus",34
"PRIEST","Bloodmage Thalnos",34
"MAGE","Spreading Madness",34
"ROGUE","Jinyu Waterspeaker",34
"MAGE","Tundra Rhino",34
"PALADIN","Vilefin Inquisitor",34
"SHAMAN","N'Zoth's First Mate",33
"MAGE","Ice Lance",33
"MAGE","Abomination",33
"PALADIN","Squirming Tentacle",33
"ROGUE","Totem Golem",33
"WARLOCK","Azure Drake",33
"DRUID","Backstab",33
"HUNTER","Azure Drake",32
"WARRIOR","Blackwing Technician",32
"PRIEST","Emperor Thaurissan",32
"WARLOCK","Twilight Elder",32
"WARLOCK","Crazed Worshipper",32
"PRIEST","Shaku, the Collector",32
"ROGUE","Earthen Ring Farseer",32
"SHAMAN","Finja, the Flying Star",32
"DRUID","Harrison Jones",32
"PRIEST","Felfire Potion",32
"SHAMAN","Hellfire",31
"MAGE","Finja, the Flying Star",31
"PRIEST","Swashburglar",31
"HUNTER","Carrion Grub",31
"ROGUE","Earth Elemental",31
"PRIEST","Tentacle of N'Zoth",31
"ROGUE","The Curator",31
"PRIEST","Alexstrasza's Champion",31
"PALADIN","Stampeding Kodo",31
"PRIEST","Hungry Dragon",31
"HUNTER","The Curator",31
"WARLOCK","Kabal Chemist",31
"ROGUE","Second-Rate Bruiser",30
"PRIEST","Kabal Chemist",30
"WARRIOR","Ysera Awakens",30
"SHAMAN","Murloc Razorgill",30
"HUNTER","Infested Tauren",30
"PALADIN","Nightbane Templar",30
"ROGUE","Leeroy Jenkins",30
"PRIEST","Totem Golem",30
"SHAMAN","Volcanic Potion",30
"WARLOCK","Blizzard",30
"MAGE","Twilight Drake",30
"DRUID","Felfire Potion",29
"MAGE","Novice Engineer",29
"SHAMAN","Young Dragonhawk",29
"PALADIN","Murloc Tidecaller",29
"PRIEST","The Curator",29
"DRUID","Sylvanas Windrunner",29
"DRUID","Loot Hoarder",29
"MAGE","Shadowflame",29
"DRUID","Stranglethorn Tiger",29
"WARLOCK","Excavated Evil",29
"ROGUE","Murloc Razorgill",29
"PRIEST","Twilight Elder",29
"PRIEST","Barnes",29
"PALADIN","Deathwing",29
"WARLOCK","Spirit Wolf",29
"DRUID","Blackwing Corruptor",28
"PRIEST","Garrison Commander",28
"ROGUE","Defias Ringleader",28
"SHAMAN","Murloc Warleader",28
"ROGUE","Infested Tauren",28
"SHAMAN","Harrison Jones",27
"ROGUE","Lotus Agents",27
"PRIEST","Slime",27
"DRUID","Savagery",27
"HUNTER","Injured Kvaldir",27
"MAGE","Anomalus",27
"SHAMAN","Jade Golem",27
"WARLOCK","Wrathguard",27
"PRIEST","Kabal Demon",27
"ROGUE","Grimestreet Smuggler",27
"WARLOCK","Tiny Knight of Evil",27
"SHAMAN","The Storm Guardian",26
"DRUID","Blizzard",26
"DRUID","Malygos",26
"DRUID","Elemental Destruction",26
"DRUID","Starfire",26
"MAGE","Kabal Crystal Runner",26
"DRUID","Klaxxi Amber-Weaver",26
